epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,73,8,52,4,50,84,79
2,97,1,28,0,1,112,111
3,102,0,7,0,0,118,123
4,94,0,3,0,0,120,133
5,97,0,4,0,0,125,124
6,108,0,6,0,0,116,120
7,103,0,6,0,0,124,117
8,110,0,5,0,0,123,112
9,105,0,5,0,0,128,112
10,103,0,6,0,0,132,109
11,104,0,6,0,0,135,105
12,101,0,3,0,0,142,104
