epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,69,5,38,19,50,71,98
2,99,0,1,2,21,98,129
3,102,0,0,0,0,114,134
4,97,0,0,0,0,126,127
5,86,0,0,0,0,131,133
6,79,0,0,0,0,144,127
7,71,0,0,0,0,153,126
8,61,0,0,0,0,168,121
9,66,0,0,0,0,179,105
10,58,0,0,0,0,194,98
11,45,0,0,0,0,209,96
12,34,0,0,0,0,223,93
