epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,95,63,19,46,13,60,54
2,167,48,4,23,0,71,37
3,255,9,0,6,0,55,25
4,309,0,0,1,0,27,13
5,332,0,0,0,0,12,6
6,343,0,0,0,0,5,2
7,348,0,0,0,0,2,0
8,349,0,0,0,0,1,0
9,350,0,0,0,0,0,0
10,350,0,0,0,0,0,0
11,350,0,0,0,0,0,0
12,350,0,0,0,0,0,0
