epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,62,21,43,8,49,79,88
2,48,19,18,2,27,114,122
3,20,4,7,1,3,151,164
4,0,2,3,0,0,170,175
5,0,0,0,0,0,180,170
6,0,0,0,0,0,184,166
7,0,0,0,0,0,208,142
8,0,0,0,0,0,218,132
9,0,0,0,0,0,223,127
10,0,0,0,0,0,226,124
11,0,0,0,0,0,241,109
12,0,0,0,0,0,250,100
