epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,80,8,50,4,50,76,82
2,109,0,1,0,26,101,113
3,126,0,0,0,0,98,126
4,128,0,0,0,0,95,127
5,130,0,0,0,0,93,127
6,140,0,0,0,0,86,124
7,147,0,0,0,0,85,118
8,152,0,0,0,0,80,118
9,155,0,0,0,0,80,115
10,141,0,0,0,0,88,121
11,136,0,0,0,0,88,126
12,138,0,0,0,0,90,122
