epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,0,100,67,50,12,71,50
2,0,91,0,50,0,142,67
3,0,3,0,50,0,163,134
4,0,0,0,0,0,128,222
5,0,0,0,0,0,127,223
6,0,0,0,0,0,132,218
7,0,0,0,0,0,133,217
8,0,0,0,0,0,127,223
9,0,0,0,0,0,130,220
10,0,0,0,0,0,135,215
11,0,0,0,0,0,137,213
12,0,0,0,0,0,138,212
