epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,30,34,69,39,79,46,53
2,7,28,88,39,102,29,57
3,0,13,128,16,121,11,61
4,0,0,191,3,120,2,34
5,0,0,271,0,63,0,16
6,0,0,334,0,15,0,1
7,0,0,350,0,0,0,0
8,0,0,350,0,0,0,0
9,0,0,350,0,0,0,0
10,0,0,350,0,0,0,0
11,0,0,350,0,0,0,0
12,0,0,350,0,0,0,0
