epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,56,63,0,61,59,52,59
2,55,69,0,54,57,55,60
3,54,67,0,55,59,56,59
4,48,65,0,62,51,62,62
5,50,66,0,59,46,71,58
6,50,72,0,60,43,70,55
7,46,73,0,64,44,66,57
8,58,70,0,65,47,61,49
9,61,74,0,71,48,52,44
10,63,70,0,74,53,46,44
11,65,69,0,76,52,41,47
12,68,72,0,74,53,41,42
