epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,50,0,50,50,12,88,100
2,52,0,0,24,0,88,186
3,72,0,0,0,0,24,254
4,66,0,0,0,0,24,260
5,72,0,0,0,0,21,257
6,77,0,0,0,0,18,255
7,71,0,0,0,0,18,261
8,65,0,0,0,0,20,265
9,67,0,0,0,0,22,261
10,68,0,0,0,0,25,257
11,70,0,0,0,0,25,255
12,78,0,0,0,0,20,252
