epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,74,11,42,12,49,78,84
2,99,0,5,0,29,105,112
3,104,0,0,0,4,112,130
4,102,0,0,0,0,112,136
5,109,0,0,0,0,109,132
6,108,0,0,0,0,106,136
7,106,0,0,0,0,105,139
8,101,0,0,0,0,102,147
9,97,0,0,0,0,98,155
10,89,0,0,0,0,98,163
11,85,0,0,0,0,94,171
12,84,0,0,0,0,96,170
