epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,90,81,21,42,32,52,32
2,140,114,7,19,15,42,13
3,185,132,3,5,8,14,3
4,199,143,1,1,4,2,0
5,197,151,0,0,2,0,0
6,194,155,0,0,1,0,0
7,193,157,0,0,0,0,0
8,191,159,0,0,0,0,0
9,189,161,0,0,0,0,0
10,191,159,0,0,0,0,0
11,191,159,0,0,0,0,0
12,192,158,0,0,0,0,0
