epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,100,14,48,65,0,71,52
2,188,0,0,40,0,70,52
3,276,0,0,0,0,54,20
4,350,0,0,0,0,0,0
5,350,0,0,0,0,0,0
6,350,0,0,0,0,0,0
7,350,0,0,0,0,0,0
8,350,0,0,0,0,0,0
9,350,0,0,0,0,0,0
10,350,0,0,0,0,0,0
11,350,0,0,0,0,0,0
12,350,0,0,0,0,0,0
