epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,77,0,61,13,73,66,60
2,24,0,104,13,67,84,58
3,14,0,99,18,14,125,80
4,15,0,29,14,1,182,109
5,20,0,0,11,0,212,107
6,6,0,0,4,0,294,46
7,1,0,0,4,0,324,21
8,0,0,0,8,0,335,7
9,0,0,0,0,0,349,1
10,0,0,0,0,0,348,2
11,0,0,0,0,0,346,4
12,0,0,0,0,0,345,5
