epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,7,78,59,48,46,57,55
2,0,111,53,49,16,64,57
3,0,101,36,49,3,94,67
4,0,48,23,51,2,136,90
5,0,1,16,40,0,174,119
6,0,0,8,14,0,189,139
7,0,0,4,3,0,191,152
8,0,0,1,0,0,187,162
9,0,0,0,0,0,181,169
10,0,0,0,0,0,177,173
11,0,0,0,0,0,171,179
12,0,0,0,0,0,169,181
