epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,4,4,4,4,4,4,4
1,7,0,5,1,7,4,4
2,0,0,9,2,9,4,4
3,0,0,12,4,2,5,5
4,0,0,11,0,1,8,8
5,0,0,9,0,0,11,8
6,0,0,3,0,0,15,10
7,0,0,0,0,0,16,12
8,0,0,0,0,0,9,19
9,0,0,0,0,0,2,26
10,0,0,0,0,0,0,28
11,0,0,0,0,0,0,28
12,0,0,0,0,0,0,28
