epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,77,8,51,6,50,78,80
2,107,2,20,1,8,105,107
3,112,2,0,0,0,120,116
4,108,1,0,0,0,129,112
5,112,2,0,0,0,129,107
6,124,1,0,0,0,120,105
7,133,2,0,0,0,114,101
8,140,1,0,0,0,116,93
9,138,2,0,0,0,119,91
10,141,2,0,0,0,123,84
11,136,0,0,0,0,135,79
12,118,0,0,0,0,144,88
