epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,4,4,4,4,4,4,4
1,0,8,4,4,4,5,3
2,0,15,1,4,0,5,3
3,0,9,0,4,0,10,5
4,0,2,0,4,0,12,10
5,0,0,0,0,0,11,17
6,0,0,0,0,0,4,24
7,0,0,0,0,0,0,28
8,0,0,0,0,0,0,28
9,0,0,0,0,0,0,28
10,0,0,0,0,0,0,28
11,0,0,0,0,0,0,28
12,0,0,0,0,0,0,28
