epoch,Always Cooperate,Always Defect,Random,Suspicious Tit For Tat,Tat For Tit,Tit For Tat,Tit For Two Tats
0,50,50,50,50,50,50,50
1,90,52,21,49,10,72,56
2,158,28,2,34,0,79,49
3,237,1,0,14,0,71,27
4,297,0,0,2,0,42,9
5,327,0,0,0,0,20,3
6,345,0,0,0,0,5,0
7,348,0,0,0,0,2,0
8,350,0,0,0,0,0,0
9,350,0,0,0,0,0,0
10,350,0,0,0,0,0,0
11,350,0,0,0,0,0,0
12,350,0,0,0,0,0,0
